variant,kind,aibl_n,aibl_acc,aibl_bacc,aibl_auc,aibl_ad_vs_cn_auc,aibl_recall_CN,aibl_recall_MCI,aibl_recall_AD,aibl_ad_to_cn_errors,ixi_cn_retention,ixi_false_impairment,oasis_bacc_stress,aibl_ece,aibl_brier,aibl_nll,notes,source,temperature
random_0437,risk_candidate,216,0.7129629629629629,0.3333333333333333,0.9485814178845503,0.9983164983164983,1.0,0.0,0.0,27,1.0,0.0,0.3333333333333333,0.21539783432680745,0.3396278553324699,0.5525826827304967,Random candidate from RC-SPE pooling family.,random_pool,1.3400312951405624
random_0438,risk_candidate,216,0.8425925925925926,0.6988776655443322,0.9450530852961263,0.9918229918229918,0.9675324675324676,0.3142857142857143,0.8148148148148148,2,1.0,0.0,0.3050847457627119,0.0717398130404199,0.20036926625833898,0.3733025270185623,Random candidate from RC-SPE pooling family.,random_pool,0.6301629693310941
random_0439,risk_candidate,216,0.2361111111111111,0.5365079365079365,0.9090609653449183,0.9980759980759981,0.0,0.9428571428571428,0.6666666666666666,0,0.0,1.0,0.3333333333333333,0.3924143716871553,0.8196935079414075,1.2630557769047062,Random candidate from RC-SPE pooling family.,random_pool,1.6101484867856126
random_0440,risk_candidate,216,0.7685185185185185,0.5109187109187109,0.9349146517170747,0.9836459836459837,0.974025974025974,0.11428571428571428,0.4444444444444444,12,1.0,0.0,0.32222871615039933,0.12153737809221592,0.25812342551444123,0.4486456838316676,Random candidate from RC-SPE pooling family.,random_pool,0.8153349851496207
random_0441,risk_candidate,216,0.8194444444444444,0.625974025974026,0.9549716671930314,0.9987974987974988,0.935064935064935,0.9428571428571428,0.0,0,0.0,1.0,0.3389830508474576,0.23229380990263046,0.4448501947639196,0.7179886023040523,Random candidate from RC-SPE pooling family.,random_pool,1.2927875482497095
random_0442,risk_candidate,216,0.7962962962962963,0.5629148629148629,0.9543908616336892,0.9983164983164983,0.9935064935064936,0.02857142857142857,0.6666666666666666,8,1.0,0.0,0.3333333333333333,0.08878090634980013,0.25911157752478997,0.43239553702640865,Random candidate from RC-SPE pooling family.,random_pool,0.7843340147494977
random_0443,risk_candidate,216,0.8935185185185185,0.8228956228956229,0.9354611327939732,0.9956709956709957,0.948051948051948,0.7428571428571429,0.7777777777777778,0,0.9982788296041308,0.0017211703958691649,0.3383985973115137,0.3370365970252024,0.34592225498513024,0.6358574327196465,Random candidate from RC-SPE pooling family.,random_pool,1.6199075522114996
random_0444,risk_candidate,216,0.8796296296296297,0.792111592111592,0.9438534119456294,0.9990379990379991,0.935064935064935,0.8857142857142857,0.5555555555555556,0,0.0,1.0,0.3333333333333333,0.36971191972795914,0.4420197906524312,0.7416935424242276,Random candidate from RC-SPE pooling family.,random_pool,1.888950234197894
random_0445,risk_candidate,216,0.8657407407407407,0.8088023088023087,0.9406456450096478,1.0,0.9025974025974026,0.8571428571428571,0.6666666666666666,0,0.0,1.0,0.3333333333333333,0.27064616632291294,0.37090519250604276,0.6175638600301911,Random candidate from RC-SPE pooling family.,random_pool,1.083771068722962
random_0446,risk_candidate,216,0.8194444444444444,0.6274651274651274,0.9550390690773009,0.9995189995189995,0.9935064935064936,0.0,0.8888888888888888,3,1.0,0.0,0.3333333333333333,0.09829108674427965,0.22569515588281183,0.4366252847064503,Random candidate from RC-SPE pooling family.,random_pool,0.6918454920522524
